GRB	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]
200219A	342.595	-59.101	2.4	288.0
200216B	160.452	19.468	1.0	81.3
200215A	34.100	12.775	1.0	11.7
200205B	107.760	-56.488	1.8	458.0
200131A	3.067	51.121	1.2	32.74
200127A	295.206	44.934	2.4	216.9
200125A	228.069	-8.142	1.8	350.83
200122A	210.010	27.548	1.0	174.96
200109A	307.116	52.988	1.2	112.0
200107B	107.067	-83.716	1.2	86.68
191228A	5.341	-8.650	2.4	166.9
191221B	154.831	-38.152	1.1	48.00
191220A	281.335	26.679	3.0	175.55
191123A	215.289	22.823	2.2	275.1
191122A	54.290	-32.176	1.0	153.3
191106A	269.356	46.046	1.7	3.42
191101A	251.845	43.740	1.7	137.95
191031D	283.269	47.645	1.4	0.29
191031C	115.880	-62.322	1.3	93.2
191029A	352.140	-40.464	1.8	39.5
191024A	10.129	-67.138	1.3	7.08
191019A	340.035	-17.340	1.0	64.35
191017B	245.131	-73.583	1.8	5.95
191016A	30.268	24.508	1.5	219.70
191011A	44.729	-27.853	1.5	7.37
191004B	49.200	-39.637	1.0	37.7
191004A	31.716	-36.932	1.1	2.44
190926A	100.616	59.531	2.3	368.9
190829A	44.542	-8.958	1.9	58.2
190828B	251.838	27.287	1.0	66.6
190824A	215.323	-41.900	1.7	169.4
190821A	250.070	-34.027	1.3	57.1
190816A	341.183	-29.745	1.7	375.0
190719C	240.208	13.005	1.2	185.7
190718A	336.605	-41.184	2.4	720.0
190706B	107.443	-29.575	2.2	25.16
190701A	28.131	58.899	2.4	52.4
190630C	293.890	-32.759	1.1	38.4
190630B	223.729	41.528	2.0	5.6
190627A	244.843	-5.302	2.7	1.60
190613B	305.434	-4.655	1.9	160.84
190613A	182.552	67.244	2.2	17.6
190611A	324.689	-56.070	3.0	41.8
190604B	297.546	-32.975	1.0	220.2
190519A	114.758	-38.813	1.7	45.58
190515B	98.826	52.322	1.5	46.4
190511A	126.443	-20.252	1.5	27.7
190422A	182.126	-60.167	2.4	n/a
190324A	49.603	-47.212	1.0	28.4
190320A	117.824	-45.876	1.9	64.0
190311A	212.067	53.486	1.3	17.0
190220A	330.128	-76.669	1.3	10.0
190219A	189.686	76.606	1.6	167.8
190211A	196.652	41.976	2.3	12.48
190204A	351.491	54.884	1.0	26.4
190203A	22.603	55.736	1.0	96
190202A	166.506	9.393	1.9	19.4
